"column","district","restaurantName","address","contactInfo","googlereviewlink","openingtime","latitude","longitude","ratingintotaloffive","ratingcategories","restauranttype","restaurantcoverphotourl"
"22","金雞母","悠閒餐屋","251新北市淡水區北新路184巷208號1樓","0920-966-193","https://reurl.cc/aVWXp3","星期一~星期五:11:00–20:30/星期六、星期日:休息","25.176958","121.4485134","3.7","3分或以上","日式料理餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub2/%E6%82%A0%E9%96%92%E9%A4%90%E5%B1%8B/IMG_7465.PNG"
"23","金雞母","豪客健身餐","251新北市淡水區北新路184巷212號1樓","無電話/ig: @haocook.fitmeal、fb:豪客健身餐","https://reurl.cc/gDqNkQ","星期一~星期五、星期日:11:00–14:00、17:00–20:00/星期六:休息","25.176904","121.4485999","4.1","4分或以上","健康餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub2/%E8%B1%AA%E5%AE%A2%E5%81%A5%E8%BA%AB%E9%A4%90/IMG_7585.PNG"
"24","金雞母","吃飯大學","251新北市淡水區北新路184巷200號1樓","(02) 286317942","https://reurl.cc/nD8xnD","星期一~星期五、星期日:11:00–20:00/星期六:休息","25.1768949","121.4487994","4","4分或以上","台式料理店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/%E5%90%83%E9%A3%AF%E5%A4%A7%E5%AD%B8/IMG_7514.PNG"
"25","金雞母","藍田早餐","25166新北市淡水區北新路184巷192號1樓","(02) 226235567","https://reurl.cc/2Ld7xE","星期一~星期五:06:30–14:00/星期六:07:30–14:00/星期日:休息","24.5420999","120.4663574","4.4","4分或以上","早午餐店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub2/%E8%97%8D%E7%94%B0%E6%97%A9%E9%A4%90/IMG_7545.PNG"
"26","金雞母","煎匙早午餐揚州炒飯","251新北市淡水區北新路184巷180號 168號1樓","(02) 226283585","https://reurl.cc/4o0Ykv","星期一~星期四:09:30–14:00/星期五~星期日:休息","25.1770058","121.449028","4.7","4.5分或以上","早午餐店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub2/%E7%85%8E%E5%8C%99%E6%97%A9%E5%8D%88%E9%A4%90%E6%8F%9A%E5%B7%9E%E7%82%92%E9%A3%AF/IMG_7615.PNG"
"27","金雞母","鄭媽媽早餐屋","251新北市淡水區水源街二段177巷1樓","無","https://reurl.cc/gDqN07","星期一~星期五:06:00–13:30/星期六、星期日:休息","25.1771087","121.4490157","4","4分或以上","早午餐店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub2/%E9%84%AD%E5%AA%BD%E5%AA%BD%E6%97%A9%E9%A4%90%E5%B1%8B/IMG_7570.PNG"
"28","金雞母","美而寶","251新北市淡水區北新路184巷158號1樓","(02) 226291810","https://reurl.cc/N07Opm","星期二~星期日:08:00–14:30/星期一:休息","25.1772435","121.4487737","4.3","4分或以上","早午餐店","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/%E7%BE%8E%E8%80%8C%E5%AF%B6/IMG_7560.PNG?raw=true"
"29","金雞母","滷獲至飽","251新北市淡水區北新路184巷162號1樓","無","https://reurl.cc/3x2yoR","星期一~星期日:18:00–00:00","25.1771361","121.4489755","4.3","4分或以上","滷味店","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub2/%E6%BB%B7%E7%8D%B2%E8%87%B3%E9%A3%BD/IMG_7573.PNG?raw=true"
"30","金雞母","Buona Pasta 金雞母店","251新北市淡水區北新路184巷142弄9號1樓","(02) 286313386","https://reurl.cc/jDnVl2","星期一~星期日:11:30–14:30、17:00–20:00","25.1771813","121.4484655","4.3","4分或以上","義式料理餐廳","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/Buona%20Pasta%20%E9%87%91%E9%9B%9E%E6%AF%8D%E5%BA%97/IMG_7598.PNG?raw=true"
"31","金雞母","樂之屋","251新北市淡水區北新路184巷142弄5號1樓","0987-501-360","https://reurl.cc/YeAmeo","星期一~星期五:12:10–22:30/星期日:17:00–23:00/星期六:休息","25.1773396","121.448602","4.5","4.5分或以上","日式料理餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub2/%E6%A8%82%E4%B9%8B%E5%B1%8B/IMG_7587.PNG"
"32","金雞母","回味小吃店","251新北市淡水區北新路184巷142弄3號1樓","(02) 226225583","https://reurl.cc/QXvNe2","星期一~星期五:11:00–14:00、17:00–20:00/星期六、星期日:休息","25.1773396","121.4486019","4","4分或以上","台式料理店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/%E5%9B%9E%E5%91%B3%E5%B0%8F%E5%90%83%E5%BA%97/IMG_7520.PNG"
"33","金雞母","Otto Pasta 義大利麵/義式餐廳 淡水店","251新北市淡水區北新路184巷142弄12號1樓","(02) 226281741","https://reurl.cc/qLlanE","星期一~星期日:11:00–19:50","25.1771506","121.4482583","4.6","4.5分或以上","義式料理餐廳","https://github.com/paulLamProgramming/foodmapimageinTamsui/blob/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/Otto%20Pasta%20%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5-%E7%BE%A9%E5%BC%8F%E9%A4%90%E5%BB%B3%20%E6%B7%A1%E6%B0%B4%E5%BA%97/IMG_7592.PNG?raw=true"
"34","金雞母","胖達關東煮","251新北市淡水區北新路一段184巷43號","0918-860-395","https://reurl.cc/WG2z0Z","星期一~星期五、星期日:17:00-2:00/星期六:休息","25.1778451","121.4482607","4.6","4.5分或以上","日式料理餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E9%87%91%E9%9B%9E%E6%AF%8Dgithub/%E8%83%96%E9%81%94%E9%97%9C%E6%9D%B1%E7%85%AE/IMG_7555.PNG"
